"","Stimulus","X","Subject","Trial","Sex","Block","ACC","RT","RTlog","cTrial","condition","WordGender"
"319","agent",17996,16,89,"female","2",0,569,6.34388,0.1447695,"none","male"
"320","agent",18607,17,23,"male","2",1,518,6.249975,-1.082423,"none","male"
"321","agent",10370,9,188,"male","4",1,654,6.4831073514572,1.98555814172299,"female-real","male"
"322","agent",20537,18,125,"female","7",1,683,6.526495,0.8141472,"female-real","male"
"323","agent",19999,18,46,"female","4",1,649,6.475433,-0.6547649,"male-real","male"
"324","agent",10577,10,22,"female","2",1,453,6.11589212548303,-1.1010166923648,"none","male"
"325","agent",1991,2,104,"female","4",1,958,6.86484777797086,0.423676900377362,"male-real","male"
"326","agent",2424,3,12,"female","2",1,629,6.44413125670044,-1.28695493538214,"none","male"
"327","agent",22040,20,13,"female","2",1,535,6.282267,-1.268361,"none","male"
"328","agent",31070,27,166,"female","4",1,673,6.511745,1.576494,"female-real","male"
"329","agent",30670,27,79,"female","2",1,654,6.483107,-0.04116871,"none","male"
"330","agent",3419,3,179,"female","4",1,1003,6.91075078796194,1.81821372300739,"female-real","male"
"331","agent",18609,17,23,"male","2",1,518,6.249975,-1.082423,"none","male"
"332","agent",28749,25,171,"female","4",1,1141,7.03966,1.669463,"female-real","male"
"333","agent",21639,19,119,"female","4",1,423,6.047372,0.7025843,"female-real","male"
"334","agent",14453,13,71,"female","4",1,720,6.5792512120101,-0.189919301579849,"female-real","male"
"335","agent",25590,23,24,"female","4",1,652,6.480045,-1.063829,"female-real","male"
"336","agent",5715,5,174,"female","4",1,694,6.5424719605068,1.72524460149872,"female-real","male"
"337","agent",25688,23,35,"female","2",1,435,6.075346,-0.859297,"none","male"
"338","agent",1409,2,29,"female","2",1,752,6.62273632394984,-0.970859922252663,"none","male"
"339","agent",26923,24,50,"female","7",1,638,6.458338,-0.5803896,"female-real","male"
"340","agent",8647,8,67,"male","2",1,439,6.08449941307517,-0.264294598786783,"none","male"
"341","agent",15167,14,18,"female","2",1,535,6.28226674689601,-1.17539198957173,"none","male"
"342","agent",15168,14,18,"female","2",1,535,6.28226674689601,-1.17539198957173,"none","male"
"343","agent",3563,4,11,"male","2",1,585,6.37161184723186,-1.30554875968387,"none","male"
"344","agent",13240,12,68,"female","7",1,909,6.81234509417748,-0.24570077448505,"female-real","male"
"345","agent",17997,16,89,"female","2",0,569,6.34388,0.1447695,"none","male"
"346","agent",25589,23,24,"female","4",1,652,6.480045,-1.063829,"female-real","male"
"347","agent",31478,28,40,"male","7",1,1072,6.977281,-0.7663279,"female-real","male"
"348","agent",14452,13,71,"female","4",1,720,6.5792512120101,-0.189919301579849,"female-real","male"
"349","agent",8342,8,32,"male","7",1,1067,6.97260625130175,-0.915078449347462,"female-real","male"
"350","agent",28743,25,169,"female","7",1,715,6.572283,1.632275,"male-real","male"
"351","agent",31551,28,49,"male","4",0,1097,7.000334,-0.5989834,"male-real","male"
"352","agent",5916,6,15,"female","2",1,948,6.85435450225502,-1.23117346247693,"none","male"
"353","agent",10438,10,5,"female","7",1,821,6.71052310945243,-1.41711170549427,"female-real","male"
"354","agent",1410,2,29,"female","2",1,752,6.62273632394984,-0.970859922252663,"none","male"
"355","agent",17495,16,27,"female","7",1,584,6.369901,-1.008048,"female-real","male"
"356","agent",17995,16,89,"female","2",0,569,6.34388,0.1447695,"none","male"
"357","agent",21640,19,119,"female","4",1,423,6.047372,0.7025843,"female-real","male"
"358","agent",8343,8,32,"male","7",1,1067,6.97260625130175,-0.915078449347462,"female-real","male"
"359","agent",12528,11,141,"female","7",1,409,6.0137151560428,1.11164839954151,"male-real","male"
"360","agent",25591,23,24,"female","4",1,652,6.480045,-1.063829,"female-real","male"
"361","agent",21954,20,3,"female","4",1,1191,7.082549,-1.454299,"male-real","male"
"362","agent",22039,20,13,"female","2",1,535,6.282267,-1.268361,"none","male"
"363","agent",611,1,77,"female","4",0,608,6.41017488196617,-0.0783563557694468,"female-real","male"
"364","agent",31549,28,49,"male","4",0,1097,7.000334,-0.5989834,"male-real","male"
"365","agent",19146,17,86,"male","7",1,836,6.728629,0.08898806,"male-real","male"
"366","agent",7769,7,97,"female","2",1,553,6.31535800152233,0.293520130265227,"none","male"
"367","agent",31476,28,40,"male","7",1,1072,6.977281,-0.7663279,"female-real","male"
"368","agent",740,1,92,"female","2",1,468,6.14846829591765,0.200551008756558,"none","male"
"369","agent",7768,7,97,"female","2",1,553,6.31535800152233,0.293520130265227,"none","male"
"370","agent",20536,18,125,"female","7",1,683,6.526495,0.8141472,"female-real","male"
"371","agent",22038,20,13,"female","2",1,535,6.282267,-1.268361,"none","male"
"372","agent",27945,25,28,"female","2",1,579,6.361302,-0.9894537,"none","male"
"373","agent",31071,27,166,"female","4",1,673,6.511745,1.576494,"female-real","male"
"374","agent",21955,20,3,"female","4",1,1191,7.082549,-1.454299,"male-real","male"
"375","agent",1408,2,29,"female","2",1,752,6.62273632394984,-0.970859922252663,"none","male"
"376","agent",28994,26,17,"male","4",1,697,6.546785,-1.193986,"male-real","male"
"377","agent",6861,6,164,"female","7",0,587,6.3750248198281,1.53930635848138,"female-real","male"
"378","agent",28748,25,171,"female","4",1,1141,7.03966,1.669463,"female-real","male"
"379","agent",10579,10,22,"female","2",1,453,6.11589212548303,-1.1010166923648,"none","male"
"380","agent",19145,17,86,"male","7",1,836,6.728629,0.08898806,"male-real","male"
"381","agent",12527,11,141,"female","7",1,409,6.0137151560428,1.11164839954151,"male-real","male"
"382","agent",26922,24,50,"female","7",1,638,6.458338,-0.5803896,"female-real","male"
"383","agent",738,1,92,"female","2",1,468,6.14846829591765,0.200551008756558,"none","male"
"384","agent",13239,12,68,"female","7",1,909,6.81234509417748,-0.24570077448505,"female-real","male"
"385","agent",12201,11,81,"female","4",1,646,6.4707995037826,-0.00398105856251214,"female-real","male"
"386","agent",20047,18,52,"female","2",1,558,6.324359,-0.543202,"none","male"
"387","agent",31477,28,40,"male","7",1,1072,6.977281,-0.7663279,"female-real","male"
"388","agent",13569,12,118,"female","4",1,793,6.67582322163485,0.683990440601633,"male-real","male"
"389","agent",13982,13,15,"female","2",1,551,6.31173480915291,-1.23117346247693,"none","male"
"390","agent",5914,6,15,"female","2",1,948,6.85435450225502,-1.23117346247693,"none","male"
"391","agent",3246,3,130,"female","7",1,852,6.74758652682932,0.907116332222438,"male-real","male"
"392","agent",13981,13,15,"female","2",1,551,6.31173480915291,-1.23117346247693,"none","male"
"393","agent",19998,18,46,"female","4",1,649,6.475433,-0.6547649,"male-real","male"
"394","agent",26692,24,21,"female","2",1,587,6.375025,-1.119611,"none","male"
"395","agent",10578,10,22,"female","2",1,453,6.11589212548303,-1.1010166923648,"none","male"
"396","agent",26690,24,21,"female","2",1,587,6.375025,-1.119611,"none","male"
"397","agent",739,1,92,"female","2",1,468,6.14846829591765,0.200551008756558,"none","male"
"398","agent",13568,12,118,"female","4",1,793,6.67582322163485,0.683990440601633,"male-real","male"
"399","agent",5915,6,15,"female","2",1,948,6.85435450225502,-1.23117346247693,"none","male"
"400","agent",2422,3,12,"female","2",1,629,6.44413125670044,-1.28695493538214,"none","male"
"401","agent",31550,28,49,"male","4",0,1097,7.000334,-0.5989834,"male-real","male"
"402","agent",26691,24,21,"female","2",1,587,6.375025,-1.119611,"none","male"
"403","agent",4329,4,114,"male","4",1,773,6.65027904858742,0.609615143394699,"male-real","male"
"404","agent",3247,3,130,"female","7",1,852,6.74758652682932,0.907116332222438,"male-real","male"
"405","agent",28993,26,17,"male","4",1,697,6.546785,-1.193986,"male-real","male"
"406","agent",2423,3,12,"female","2",1,629,6.44413125670044,-1.28695493538214,"none","male"
"407","apprenticeship",23633,21,74,"female","2",1,620,6.429719,-0.1341378,"none","male"
"408","apprenticeship",16635,15,64,"female","2",1,634,6.45204895443723,-0.320076071691984,"none","male"
"409","apprenticeship",13420,12,90,"female","7",1,1175,7.06902342657826,0.163363360153091,"female-real","male"
"410","apprenticeship",5568,5,127,"female","7",1,849,6.74405918631135,0.851334859317237,"male-real","male"
"411","apprenticeship",23634,21,74,"female","2",1,620,6.429719,-0.1341378,"none","male"
"412","apprenticeship",27615,24,176,"female","4",1,659,6.490724,1.762432,"male-real","male"
"413","apprenticeship",18322,16,168,"female","7",1,641,6.463029,1.613682,"female-real","male"
"414","apprenticeship",11239,10,98,"female","2",0,454,6.11809719804135,0.31211395456696,"none","male"
"415","apprenticeship",6300,6,59,"female","7",1,689,6.53524127101366,-0.413045193200653,"female-real","male"
"416","apprenticeship",31776,28,79,"male","7",1,750,6.620073,-0.04116871,"female-real","male"
"417","apprenticeship",7754,7,96,"female","2",1,653,6.48157712927643,0.274926305963493,"none","male"
"418","apprenticeship",16634,15,64,"female","2",1,634,6.45204895443723,-0.320076071691984,"none","male"
"419","apprenticeship",12304,11,93,"female","2",1,623,6.43454651878745,0.219144833058292,"none","male"
"420","apprenticeship",20264,18,78,"female","2",1,589,6.378426,-0.05976253,"none","male"
"421","apprenticeship",16636,15,64,"female","2",1,634,6.45204895443723,-0.320076071691984,"none","male"
"422","apprenticeship",18883,17,57,"male","4",1,841,6.734592,-0.4502328,"female-real","male"
