"","Stimulus","X","Subject","Trial","Block","ACC","RT","Sex","RTlog","cTrial","condition","WordGender"
"189","agent",22940,402,167,4,1,558,"female",6.32435896238131,1.41513776637487,"female-real","male"
"190","agent",22439,402,3,2,1,478,"female",6.16961073249146,-1.52931878576955,"none","male"
"191","agent",23907,404,82,2,1,440,"female",6.08677472691231,-0.110952519797539,"none","male"
"192","agent",4023,108,19,7,1,538,"female",6.28785856016178,-1.2420547319018,"female-real","male"
"193","agent",2937,106,40,2,1,632,"female",6.44888939414686,-0.865020661200379,"none","male"
"194","agent",19774,309,81,2,1,637,"female",6.45676965557216,-0.128906523164273,"none","male"
"195","agent",2643,105,125,7,1,603,"female",6.40191719672719,0.661069624972035,"female-real","male"
"196","agent",12799,210,71,2,1,620,"male",6.42971947803914,-0.308446556831616,"none","male"
"197","agent",12146,209,45,4,1,852,"female",6.74758652682932,-0.775250644366707,"female-real","male"
"198","agent",18505,307,47,4,1,641,"male",6.46302945692067,-0.739342637633239,"male-real","male"
"199","agent",17406,305,73,4,1,667,"female",6.50279004591562,-0.272538550098148,"male-real","male"
"200","agent",7128,113,89,2,0,484,"male",6.18208490671663,0.0147255037696009,"none","male"
"201","agent",1634,103,180,4,1,620,"female",6.42971947803914,1.64853981014242,"male-real","male"
"202","agent",4523,108,194,4,1,888,"female",6.78897174299217,1.8998958572767,"male-real","male"
"203","agent",465,101,135,7,1,691,"female",6.53813982376767,0.840609658639377,"female-real","male"
"204","agent",19347,308,148,7,1,636,"female",6.45519856334012,1.07401170240692,"female-real","male"
"205","agent",1855,104,44,4,1,712,"female",6.56807791141198,-0.793204647733441,"male-real","male"
"206","agent",2939,106,40,2,1,632,"female",6.44888939414686,-0.865020661200379,"none","male"
"207","agent",18102,306,109,7,1,737,"male",6.60258789218934,0.373805571104286,"female-real","male"
"208","agent",624,102,14,2,1,567,"male",6.34035930372775,-1.33182474873547,"none","male"
"209","agent",1869,104,47,2,1,580,"female",6.36302810354046,-0.739342637633239,"none","male"
"210","agent",12798,210,71,2,1,620,"male",6.42971947803914,-0.308446556831616,"none","male"
"211","agent",19239,308,98,2,1,922,"female",6.82654522355659,0.176311534070209,"none","male"
"212","agent",21206,311,181,4,1,684,"male",6.52795791762255,1.66649381350915,"male-real","male"
"213","agent",18504,307,47,4,1,641,"male",6.46302945692067,-0.739342637633239,"male-real","male"
"214","agent",6598,112,99,2,1,468,"male",6.14846829591765,0.194265537436944,"none","male"
"215","agent",21914,401,13,4,1,597,"female",6.3919171133926,-1.3497787521022,"female-real","male"
"216","agent",7201,113,117,7,1,647,"male",6.4723462945009,0.51743759803816,"female-real","male"
"217","agent",4230,108,77,2,1,515,"female",6.24416690066374,-0.20072253663121,"none","male"
"218","agent",3905,107,187,4,1,614,"female",6.41999492814714,1.77421783370956,"male-real","male"
"219","agent",19773,309,81,2,1,637,"female",6.45676965557216,-0.128906523164273,"none","male"
